"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"1713","A7",0.137,20,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1714","B7",0.129,20,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1715","C7",0.1542,20,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1716","D7",0.1492,20,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1717","E7",0.1479,20,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1718","F7",0.1896,20,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1720","H7",0.0999,20,1,"1-H7","Blank","","SD-His-Leu",1
"1721","A7",0.1448,22,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1722","B7",0.1423,22,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1723","C7",0.1731,22,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1724","D7",0.1496,22,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1725","E7",0.1498,22,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1726","F7",0.1887,22,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1728","H7",0.0989,22,1,"1-H7","Blank","","SD-His-Leu",1
"1729","A7",0.1669,24,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1730","B7",0.1689,24,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1731","C7",0.1845,24,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1732","D7",0.1489,24,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1733","E7",0.1485,24,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1734","F7",0.1875,24,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1736","H7",0.0986,24,1,"1-H7","Blank","","SD-His-Leu",1
"1737","A7",0.2089,26,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1738","B7",0.1803,26,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1739","C7",0.2,26,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1740","D7",0.1488,26,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1741","E7",0.1493,26,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1742","F7",0.1887,26,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1744","H7",0.0979,26,1,"1-H7","Blank","","SD-His-Leu",1
"1745","A7",0.2849,28,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1746","B7",0.2424,28,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1747","C7",0.2562,28,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1748","D7",0.1527,28,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1749","E7",0.1528,28,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1750","F7",0.1886,28,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1752","H7",0.0982,28,1,"1-H7","Blank","","SD-His-Leu",1
"1753","A7",0.4073,30,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1754","B7",0.3802,30,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1755","C7",0.3321,30,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1756","D7",0.1569,30,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1757","E7",0.1595,30,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1758","F7",0.1922,30,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1760","H7",0.0986,30,1,"1-H7","Blank","","SD-His-Leu",1
"1761","A7",0.6264,32,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1762","B7",0.5302,32,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1763","C7",0.4736,32,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1764","D7",0.1628,32,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1765","E7",0.172,32,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1766","F7",0.1975,32,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1768","H7",0.0983,32,1,"1-H7","Blank","","SD-His-Leu",1
"1769","A7",0.8704,34,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1770","B7",0.7587,34,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1771","C7",0.6758,34,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1772","D7",0.1847,34,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1773","E7",0.1935,34,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1774","F7",0.2051,34,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1776","H7",0.0982,34,1,"1-H7","Blank","","SD-His-Leu",1
"1777","A7",1.071,36,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1778","B7",1.0004,36,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1779","C7",0.8945,36,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1780","D7",0.226,36,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1781","E7",0.239,36,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1782","F7",0.2347,36,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1784","H7",0.0981,36,1,"1-H7","Blank","","SD-His-Leu",1
"1785","A7",1.236,38,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1786","B7",1.2446,38,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1787","C7",1.0753,38,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1788","D7",0.3013,38,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1789","E7",0.3204,38,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1790","F7",0.2823,38,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1792","H7",0.0983,38,1,"1-H7","Blank","","SD-His-Leu",1
"1793","A7",1.3843,40,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1794","B7",1.3891,40,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1795","C7",1.2175,40,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1796","D7",0.406,40,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1797","E7",0.4478,40,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1798","F7",0.3753,40,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1800","H7",0.0982,40,1,"1-H7","Blank","","SD-His-Leu",1
"1801","A7",1.4916,42,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1802","B7",1.5292,42,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1803","C7",1.3555,42,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1804","D7",0.5522,42,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1805","E7",0.7,42,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1806","F7",0.4831,42,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1808","H7",0.0977,42,1,"1-H7","Blank","","SD-His-Leu",1
"1809","A7",1.5153,44,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1810","B7",1.5998,44,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1811","C7",1.4685,44,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1812","D7",1.043,44,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1813","E7",1.2662,44,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1814","F7",0.9756,44,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1816","H7",0.1039,44,1,"1-H7","Blank","","SD-His-Leu",1
"1817","A7",1.4471,46,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1818","B7",1.5721,46,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1819","C7",1.4141,46,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1820","D7",0.7616,46,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1821","E7",0.9623,46,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1822","F7",0.6615,46,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1824","H7",0.1051,46,1,"1-H7","Blank","","SD-His-Leu",1
"1825","A7",1.4497,48,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1826","B7",1.6258,48,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1827","C7",1.5238,48,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1828","D7",1.3765,48,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1829","E7",1.5595,48,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1830","F7",1.3271,48,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1832","H7",0.1045,48,1,"1-H7","Blank","","SD-His-Leu",1
"1833","A7",1.4623,50,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1834","B7",1.5985,50,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1835","C7",1.5095,50,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1836","D7",1.4794,50,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1837","E7",1.6032,50,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1838","F7",1.4002,50,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1840","H7",0.1054,50,1,"1-H7","Blank","","SD-His-Leu",1
"1841","A7",1.5969,52,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1842","B7",1.646,52,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1843","C7",1.5917,52,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1844","D7",1.6329,52,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1845","E7",1.7382,52,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1846","F7",1.5778,52,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1848","H7",0.1033,52,1,"1-H7","Blank","","SD-His-Leu",1
"1849","A7",1.661,54,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1850","B7",1.6616,54,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1851","C7",1.682,54,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1852","D7",1.7669,54,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1853","E7",1.8034,54,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1854","F7",1.7283,54,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1856","H7",0.1033,54,1,"1-H7","Blank","","SD-His-Leu",1
"1857","A7",1.7169,56,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1858","B7",1.6746,56,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1859","C7",1.7227,56,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1860","D7",1.8121,56,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1861","E7",1.8221,56,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1862","F7",1.7995,56,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1864","H7",0.1035,56,1,"1-H7","Blank","","SD-His-Leu",1
"1865","A7",1.76,58,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1866","B7",1.6934,58,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1867","C7",1.746,58,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1868","D7",1.8299,58,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1869","E7",1.8348,58,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1870","F7",1.8268,58,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1872","H7",0.1026,58,1,"1-H7","Blank","","SD-His-Leu",1
"1873","A7",1.7885,60,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1874","B7",1.7086,60,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1875","C7",1.7813,60,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1876","D7",1.8421,60,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1877","E7",1.8487,60,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1878","F7",1.8446,60,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1880","H7",0.103,60,1,"1-H7","Blank","","SD-His-Leu",1
"1881","A7",1.8092,62,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1882","B7",1.7322,62,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1883","C7",1.7972,62,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1884","D7",1.8552,62,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1885","E7",1.8616,62,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1886","F7",1.8572,62,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1888","H7",0.1024,62,1,"1-H7","Blank","","SD-His-Leu",1
"1889","A7",1.8234,64,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1890","B7",1.7574,64,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1891","C7",1.8135,64,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1892","D7",1.8687,64,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1893","E7",1.8725,64,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1894","F7",1.8702,64,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1896","H7",0.1023,64,1,"1-H7","Blank","","SD-His-Leu",1
"1897","A7",1.8346,66,1,"1-A7","YHL033C-Y7039","Liquid","SD-His-Leu",1
"1898","B7",1.7738,66,1,"1-B7","YIL066C-Y7039","Liquid","SD-His-Leu",1
"1899","C7",1.8245,66,1,"1-C7","YML058W-A-Y7039","Liquid","SD-His-Leu",1
"1900","D7",1.8767,66,1,"1-D7","YHL033C-Y7039","Dried","SD-His-Leu",1
"1901","E7",1.8778,66,1,"1-E7","YIL066C-Y7039","Dried","SD-His-Leu",1
"1902","F7",1.8799,66,1,"1-F7","YML058W-A-Y7039","Dried","SD-His-Leu",1
"1904","H7",0.1025,66,1,"1-H7","Blank","","SD-His-Leu",1
"1905","A8",0.1362,0,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1906","B8",0.1459,0,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1907","C8",0.1527,0,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1908","D8",0.2972,0,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1909","E8",0.2249,0,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1910","F8",0.1713,0,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1912","H8",0.1179,0,1,"1-H8","Blank","","SD-His-Leu",2
"1913","A8",0.1396,2,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1914","B8",0.1362,2,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1915","C8",0.1519,2,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1916","D8",0.3045,2,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1917","E8",0.2279,2,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1918","F8",0.1686,2,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1920","H8",0.12,2,1,"1-H8","Blank","","SD-His-Leu",2
"1921","A8",0.1452,4,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1922","B8",0.1333,4,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1923","C8",0.1505,4,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1924","D8",0.3073,4,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1925","E8",0.2323,4,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1926","F8",0.167,4,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1928","H8",0.1205,4,1,"1-H8","Blank","","SD-His-Leu",2
"1929","A8",0.1494,6,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1930","B8",0.1252,6,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1931","C8",0.1481,6,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1932","D8",0.3069,6,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1933","E8",0.2355,6,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1934","F8",0.1656,6,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1936","H8",0.1202,6,1,"1-H8","Blank","","SD-His-Leu",2
"1937","A8",0.1351,8,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1938","B8",0.1244,8,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1939","C8",0.145,8,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1940","D8",0.3073,8,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1941","E8",0.2363,8,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1942","F8",0.1654,8,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1944","H8",0.1206,8,1,"1-H8","Blank","","SD-His-Leu",2
"1945","A8",0.1288,10,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1946","B8",0.126,10,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1947","C8",0.1434,10,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1948","D8",0.311,10,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1949","E8",0.2356,10,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1950","F8",0.1636,10,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1952","H8",0.121,10,1,"1-H8","Blank","","SD-His-Leu",2
"1953","A8",0.1287,12,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1954","B8",0.1187,12,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1955","C8",0.1406,12,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1956","D8",0.3124,12,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1957","E8",0.2345,12,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1958","F8",0.1624,12,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1960","H8",0.121,12,1,"1-H8","Blank","","SD-His-Leu",2
"1961","A8",0.1262,14,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1962","B8",0.1205,14,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1963","C8",0.1409,14,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1964","D8",0.3151,14,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1965","E8",0.2347,14,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1966","F8",0.1611,14,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1968","H8",0.1194,14,1,"1-H8","Blank","","SD-His-Leu",2
"1969","A8",0.1292,16,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1970","B8",0.1241,16,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1971","C8",0.1411,16,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1972","D8",0.3141,16,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1973","E8",0.236,16,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1974","F8",0.1613,16,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1976","H8",0.1188,16,1,"1-H8","Blank","","SD-His-Leu",2
"1977","A8",0.1257,18,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1978","B8",0.1242,18,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1979","C8",0.1435,18,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1980","D8",0.3124,18,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1981","E8",0.2352,18,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1982","F8",0.1606,18,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1984","H8",0.1171,18,1,"1-H8","Blank","","SD-His-Leu",2
"1985","A8",0.1371,20,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1986","B8",0.1263,20,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1987","C8",0.1521,20,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1988","D8",0.3117,20,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1989","E8",0.2348,20,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1990","F8",0.1593,20,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"1992","H8",0.1142,20,1,"1-H8","Blank","","SD-His-Leu",2
"1993","A8",0.1508,22,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"1994","B8",0.1346,22,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"1995","C8",0.1685,22,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"1996","D8",0.3136,22,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"1997","E8",0.2345,22,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"1998","F8",0.1592,22,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2000","H8",0.1171,22,1,"1-H8","Blank","","SD-His-Leu",2
"2001","A8",0.1746,24,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2002","B8",0.1437,24,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2003","C8",0.188,24,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2004","D8",0.321,24,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2005","E8",0.235,24,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2006","F8",0.158,24,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2008","H8",0.1182,24,1,"1-H8","Blank","","SD-His-Leu",2
"2009","A8",0.2046,26,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2010","B8",0.1728,26,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2011","C8",0.2096,26,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2012","D8",0.3292,26,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2013","E8",0.2394,26,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2014","F8",0.1571,26,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2016","H8",0.1142,26,1,"1-H8","Blank","","SD-His-Leu",2
"2017","A8",0.2615,28,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2018","B8",0.2079,28,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2019","C8",0.2729,28,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2020","D8",0.3402,28,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2021","E8",0.2446,28,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2022","F8",0.1586,28,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2024","H8",0.1156,28,1,"1-H8","Blank","","SD-His-Leu",2
"2025","A8",0.3598,30,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2026","B8",0.2755,30,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2027","C8",0.3663,30,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2028","D8",0.3659,30,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2029","E8",0.2575,30,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2030","F8",0.1611,30,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2032","H8",0.1169,30,1,"1-H8","Blank","","SD-His-Leu",2
"2033","A8",0.5292,32,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2034","B8",0.4351,32,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2035","C8",0.5247,32,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2036","D8",0.4153,32,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2037","E8",0.2832,32,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2038","F8",0.1694,32,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2040","H8",0.1168,32,1,"1-H8","Blank","","SD-His-Leu",2
"2041","A8",0.6418,34,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2042","B8",0.7026,34,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2043","C8",0.7316,34,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2044","D8",0.4937,34,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2045","E8",0.3308,34,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2046","F8",0.1843,34,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2048","H8",0.117,34,1,"1-H8","Blank","","SD-His-Leu",2
"2049","A8",0.7409,36,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
