"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"736","H3",0.1122,34,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"737","A3",0.1561,36,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"738","B3",0.133,36,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"739","C3",1.5723,36,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"740","D3",0.1548,36,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"743","G3",0.1138,36,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"744","H3",0.1115,36,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"745","A3",0.1568,38,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"746","B3",0.1324,38,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"747","C3",1.57,38,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"748","D3",0.2027,38,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"751","G3",0.1134,38,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"752","H3",0.1112,38,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"753","A3",0.1556,40,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"754","B3",0.1304,40,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"755","C3",1.5641,40,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"756","D3",0.3124,40,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"759","G3",0.1136,40,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"760","H3",0.112,40,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"761","A3",0.1542,42,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"762","B3",0.1298,42,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"763","C3",1.571,42,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"764","D3",0.5502,42,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"767","G3",0.1131,42,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"768","H3",0.1114,42,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"769","A3",0.1516,44,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"770","B3",0.1274,44,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"771","C3",1.5758,44,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"772","D3",0.685,44,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"775","G3",0.113,44,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"776","H3",0.111,44,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"777","A3",0.1487,46,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"778","B3",0.1264,46,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"779","C3",1.5793,46,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"780","D3",1.2438,46,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"783","G3",0.1127,46,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"784","H3",0.1104,46,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"785","A3",0.1468,48,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"786","B3",0.1255,48,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"787","C3",1.5888,48,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"788","D3",1.1528,48,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"791","G3",0.113,48,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"792","H3",0.1107,48,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"793","A3",0.1454,50,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"794","B3",0.1242,50,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"795","C3",1.6094,50,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"796","D3",1.4005,50,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"799","G3",0.1125,50,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"800","H3",0.111,50,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"801","A3",0.144,52,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"802","B3",0.1242,52,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"803","C3",1.615,52,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"804","D3",1.4546,52,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"807","G3",0.1127,52,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"808","H3",0.111,52,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"809","A3",0.143,54,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"810","B3",0.1232,54,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"811","C3",1.6236,54,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"812","D3",1.516,54,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"815","G3",0.1123,54,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"816","H3",0.1109,54,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"817","A3",0.1409,56,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"818","B3",0.1223,56,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"819","C3",1.6112,56,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"820","D3",1.5173,56,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"823","G3",0.1118,56,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"824","H3",0.1104,56,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"825","A3",0.1397,58,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"826","B3",0.1219,58,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"827","C3",1.5334,58,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"828","D3",1.454,58,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"831","G3",0.1117,58,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"832","H3",0.1101,58,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"833","A3",0.1386,60,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"834","B3",0.1213,60,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"835","C3",1.4344,60,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"836","D3",1.2328,60,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"839","G3",0.1117,60,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"840","H3",0.1102,60,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"841","A3",0.1361,62,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"842","B3",0.1203,62,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"843","C3",1.4326,62,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"844","D3",1.4042,62,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"847","G3",0.1113,62,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"848","H3",0.1107,62,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"849","A3",0.1352,64,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"850","B3",0.1199,64,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"851","C3",1.3546,64,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"852","D3",1.5136,64,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"855","G3",0.1111,64,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"856","H3",0.1104,64,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"857","A3",0.135,66,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"858","B3",0.1198,66,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"859","C3",1.1985,66,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"860","D3",1.4766,66,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"863","G3",0.1114,66,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"864","H3",0.1103,66,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"865","A3",0.1336,68,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"866","B3",0.1189,68,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"867","C3",1.6401,68,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"868","D3",1.5341,68,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"871","G3",0.1117,68,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"872","H3",0.11,68,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"873","A3",0.1334,70,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"874","B3",0.1184,70,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"875","C3",1.4925,70,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"876","D3",1.5347,70,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"879","G3",0.1112,70,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"880","H3",0.1099,70,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"881","A3",0.1403,72,1,"1-A3","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",3
"882","B3",0.1183,72,1,"1-B3","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",3
"883","C3",1.4948,72,1,"1-C3","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",3
"884","D3",1.5557,72,1,"1-D3","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",3
"887","G3",0.1114,72,1,"1-G3","YPD-Blank","Liquid","No","RT","YPD",3
"888","H3",0.11,72,1,"1-H3","YPD-Blank","Liquid","Growth Medium","RT","YPD",3
"889","A4",0.1339,0,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"890","B4",0.126,0,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"891","C4",0.1269,0,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"892","D4",0.1219,0,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"893","E4",0.1217,0,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"894","F4",0.124,0,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"895","G4",0.1283,0,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"896","H4",0.1294,0,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"897","A4",0.1407,2,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"898","B4",0.1337,2,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"899","C4",0.1349,2,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"900","D4",0.1362,2,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"901","E4",0.1265,2,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"902","F4",0.1325,2,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"903","G4",0.1333,2,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"904","H4",0.1401,2,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"905","A4",0.1625,4,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"906","B4",0.1483,4,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"907","C4",0.148,4,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"908","D4",0.1559,4,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"909","E4",0.1365,4,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"910","F4",0.1469,4,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"911","G4",0.1438,4,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"912","H4",0.157,4,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"913","A4",0.1874,6,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"914","B4",0.1659,6,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"915","C4",0.165,6,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"916","D4",0.1677,6,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"917","E4",0.1476,6,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"918","F4",0.1592,6,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"919","G4",0.1621,6,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"920","H4",0.1672,6,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"921","A4",0.2025,8,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"922","B4",0.1842,8,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"923","C4",0.1883,8,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"924","D4",0.1661,8,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"925","E4",0.1542,8,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"926","F4",0.1592,8,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"927","G4",0.1819,8,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"928","H4",0.1688,8,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"929","A4",0.1933,10,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"930","B4",0.1865,10,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"931","C4",0.1973,10,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"932","D4",0.1521,10,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"933","E4",0.1457,10,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"934","F4",0.1539,10,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"935","G4",0.1797,10,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"936","H4",0.163,10,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"937","A4",0.1879,12,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"938","B4",0.1897,12,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"939","C4",0.2553,12,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"940","D4",0.1535,12,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"941","E4",0.1554,12,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"942","F4",0.1617,12,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"943","G4",0.2306,12,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"944","H4",0.1711,12,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"945","A4",0.1892,14,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"946","B4",0.1789,14,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"947","C4",0.3584,14,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"948","D4",0.148,14,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"949","E4",0.154,14,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"950","F4",0.1535,14,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"951","G4",0.3164,14,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"952","H4",0.229,14,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"953","A4",0.195,16,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"954","B4",0.177,16,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"955","C4",0.6608,16,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"956","D4",0.1587,16,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"957","E4",0.1566,16,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"958","F4",0.1644,16,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"959","G4",0.5809,16,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"960","H4",0.3213,16,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"961","A4",0.1951,18,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"962","B4",0.1704,18,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"963","C4",0.8971,18,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"964","D4",0.1506,18,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"965","E4",0.146,18,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"966","F4",0.1542,18,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"967","G4",0.7015,18,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"968","H4",0.6471,18,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"969","A4",0.209,20,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"970","B4",0.1661,20,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"971","C4",1.5276,20,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"972","D4",0.1564,20,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"973","E4",0.1487,20,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"974","F4",0.1616,20,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"975","G4",1.5718,20,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"976","H4",0.979,20,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"977","A4",0.2023,22,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"978","B4",0.1615,22,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"979","C4",1.5691,22,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"980","D4",0.1515,22,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"981","E4",0.1456,22,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"982","F4",0.1511,22,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"983","G4",1.5834,22,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"984","H4",1.0275,22,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"985","A4",0.1935,24,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"986","B4",0.1613,24,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"987","C4",1.6327,24,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"988","D4",0.1496,24,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"989","E4",0.1427,24,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"990","F4",0.1484,24,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"991","G4",1.6614,24,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"992","H4",1.1203,24,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"993","A4",0.1851,26,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"994","B4",0.1571,26,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"995","C4",1.6645,26,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"996","D4",0.1469,26,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"997","E4",0.1405,26,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"998","F4",0.1484,26,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"999","G4",1.6522,26,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"1000","H4",1.2679,26,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"1001","A4",0.1756,28,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"1002","B4",0.1809,28,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"1003","C4",1.6703,28,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"1004","D4",0.1687,28,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"1005","E4",0.1618,28,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"1006","F4",0.1758,28,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"1007","G4",1.6964,28,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"1008","H4",1.1285,28,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"1009","A4",0.1796,30,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"1010","B4",0.156,30,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"1011","C4",1.6501,30,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"1012","D4",0.1465,30,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"1013","E4",0.1404,30,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"1014","F4",0.151,30,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"1015","G4",1.6761,30,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"1016","H4",1.1405,30,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"1017","A4",0.1817,32,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"1018","B4",0.1539,32,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"1019","C4",1.6427,32,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"1020","D4",0.1477,32,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"1021","E4",0.1426,32,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"1022","F4",0.1495,32,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"1023","G4",1.6458,32,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"1024","H4",1.3054,32,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"1025","A4",0.1805,34,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"1026","B4",0.1525,34,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
"1027","C4",1.6331,34,1,"1-C4","Y7039 x YHL033C","Liquid","No","RT","YPD",1
"1028","D4",0.1418,34,1,"1-D4","Y7039 x YHL033C","Dried","No","RT","YPD",1
"1029","E4",0.1375,34,1,"1-E4","Y7039 x YHL033C","Liquid","Sporulation Medium","Heat Shock","YPD",1
"1030","F4",0.1431,34,1,"1-F4","Y7039 x YHL033C","Dried","Sporulation Medium","Heat Shock","YPD",1
"1031","G4",1.6647,34,1,"1-G4","Y7039 x YHL033C","Liquid","Sporulation Medium","RT","YPD",1
"1032","H4",1.4269,34,1,"1-H4","Y7039 x YHL033C","Dried","Sporulation Medium","RT","YPD",1
"1033","A4",0.1755,36,1,"1-A4","Y7039 x YHL033C","Liquid","No","Heat Shock","YPD",1
"1034","B4",0.1486,36,1,"1-B4","Y7039 x YHL033C","Dried","No","Heat Shock","YPD",1
