"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"80","H1",0.1084,18,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"81","A1",0.1557,20,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"82","B1",0.3767,20,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"83","C1",1.043,20,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"84","D1",0.1415,20,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"87","G1",0.1141,20,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"88","H1",0.1085,20,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"89","A1",0.1523,22,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"90","B1",0.442,22,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"91","C1",1.313,22,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"92","D1",0.1417,22,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"95","G1",0.1143,22,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"96","H1",0.1084,22,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"97","A1",0.1523,24,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"98","B1",0.5252,24,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"99","C1",1.4701,24,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"100","D1",0.1421,24,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"103","G1",0.1135,24,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"104","H1",0.1082,24,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"105","A1",0.1498,26,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"106","B1",0.6409,26,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"107","C1",1.5173,26,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"108","D1",0.141,26,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"111","G1",0.1139,26,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"112","H1",0.108,26,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"113","A1",0.1568,28,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"114","B1",0.6569,28,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"115","C1",1.5241,28,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"116","D1",0.1443,28,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"119","G1",0.1284,28,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"120","H1",0.1084,28,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"121","A1",0.1564,30,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"122","B1",0.7964,30,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"123","C1",1.5353,30,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"124","D1",0.1452,30,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"127","G1",0.1139,30,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"128","H1",0.1079,30,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"129","A1",0.1547,32,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"130","B1",0.894,32,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"131","C1",1.5666,32,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"132","D1",0.1477,32,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"135","G1",0.1134,32,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"136","H1",0.1077,32,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"137","A1",0.1546,34,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"138","B1",0.9511,34,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"139","C1",1.5674,34,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"140","D1",0.153,34,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"143","G1",0.1134,34,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"144","H1",0.1078,34,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"145","A1",0.1602,36,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"146","B1",1.0185,36,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"147","C1",1.5869,36,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"148","D1",0.1798,36,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"151","G1",0.1133,36,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"152","H1",0.1077,36,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"153","A1",0.1643,38,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"154","B1",1.0682,38,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"155","C1",1.5856,38,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"156","D1",0.2742,38,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"159","G1",0.1132,38,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"160","H1",0.1075,38,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
