"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"66","B1",0.0993,16,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"67","C1",0.1236,16,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"68","D1",0.1025,16,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"69","E1",0.1199,16,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"70","F1",0.1118,16,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"71","G1",0.109,16,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"73","A1",0.1056,18,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"74","B1",0.0985,18,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"75","C1",0.1183,18,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"76","D1",0.1017,18,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"77","E1",0.1197,18,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"78","F1",0.1122,18,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"79","G1",0.1109,18,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"81","A1",0.1056,20,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"82","B1",0.0982,20,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"83","C1",0.1175,20,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"84","D1",0.1029,20,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"85","E1",0.1194,20,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"86","F1",0.1146,20,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"87","G1",0.1094,20,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"89","A1",0.1058,22,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"90","B1",0.098,22,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"91","C1",0.1159,22,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"92","D1",0.1022,22,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"93","E1",0.1233,22,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"94","F1",0.112,22,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"95","G1",0.1079,22,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"97","A1",0.1098,24,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"98","B1",0.1131,24,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"99","C1",0.114,24,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"100","D1",0.1031,24,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"101","E1",0.1047,24,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"102","F1",0.1052,24,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"103","G1",0.1191,24,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"105","A1",0.1112,26,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"106","B1",0.1149,26,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"107","C1",0.0945,26,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"108","D1",0.1057,26,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"109","E1",0.1063,26,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"110","F1",0.1186,26,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"111","G1",0.1243,26,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"113","A1",0.1085,28,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"114","B1",0.1108,28,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"115","C1",0.0988,28,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"116","D1",0.105,28,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"117","E1",0.1054,28,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"118","F1",0.1201,28,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"119","G1",0.114,28,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"121","A1",0.1073,30,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"122","B1",0.1099,30,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"123","C1",0.1087,30,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"124","D1",0.1046,30,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"125","E1",0.1035,30,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"126","F1",0.1189,30,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"127","G1",0.1311,30,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"129","A1",0.1065,32,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"130","B1",0.11,32,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"131","C1",0.138,32,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"132","D1",0.1002,32,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"133","E1",0.1026,32,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"134","F1",0.1138,32,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"135","G1",0.1161,32,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"137","A1",0.1056,34,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"138","B1",0.1089,34,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"139","C1",0.1962,34,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"140","D1",0.1007,34,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"141","E1",0.103,34,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"142","F1",0.1165,34,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"143","G1",0.107,34,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"145","A1",0.1058,36,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"146","B1",0.1089,36,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"147","C1",0.3046,36,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"148","D1",0.1057,36,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"149","E1",0.11,36,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"150","F1",0.1158,36,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"151","G1",0.1102,36,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"153","A1",0.1054,38,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"154","B1",0.1088,38,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"155","C1",0.4135,38,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"156","D1",0.1059,38,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"157","E1",0.11,38,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"158","F1",0.1148,38,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"159","G1",0.1073,38,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"161","A1",0.1053,40,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"162","B1",0.1082,40,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"163","C1",0.5192,40,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"164","D1",0.1085,40,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"165","E1",0.1093,40,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"166","F1",0.1165,40,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"167","G1",0.1206,40,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"169","A1",0.1049,42,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"170","B1",0.1082,42,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"171","C1",0.5279,42,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"172","D1",0.1093,42,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"173","E1",0.1084,42,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"174","F1",0.1145,42,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"175","G1",0.1095,42,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"177","A1",0.1051,44,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"178","B1",0.1099,44,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"179","C1",0.8451,44,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"180","D1",0.1537,44,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"181","E1",0.1143,44,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"182","F1",0.1159,44,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"183","G1",0.1213,44,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"185","A1",0.1058,46,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"186","B1",0.1078,46,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"187","C1",0.633,46,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"188","D1",0.1553,46,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"189","E1",0.1099,46,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"190","F1",0.1099,46,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"191","G1",0.1267,46,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"193","A1",0.1045,48,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"194","B1",0.1052,48,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"195","C1",0.5445,48,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"196","D1",0.1724,48,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"197","E1",0.1073,48,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"198","F1",0.1181,48,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"199","G1",0.1112,48,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"201","A1",0.1038,50,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"202","B1",0.1041,50,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"203","C1",0.5326,50,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"204","D1",0.2408,50,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"205","E1",0.1056,50,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"206","F1",0.1105,50,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"207","G1",0.0977,50,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
