"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"683","C3",0.13,26,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"684","D3",0.1085,26,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"685","E3",0.1167,26,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"686","F3",0.112,26,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"687","G3",0.0995,26,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"689","A3",0.1039,28,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"690","B3",0.1072,28,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"691","C3",0.1399,28,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"692","D3",0.1062,28,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"693","E3",0.1154,28,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"694","F3",0.1088,28,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"695","G3",0.0988,28,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"697","A3",0.1049,30,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"698","B3",0.106,30,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"699","C3",0.1763,30,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"700","D3",0.1059,30,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"701","E3",0.1144,30,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"702","F3",0.1098,30,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"703","G3",0.0987,30,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"705","A3",0.1035,32,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"706","B3",0.1055,32,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"707","C3",0.2873,32,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"708","D3",0.1052,32,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"709","E3",0.1129,32,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"710","F3",0.1086,32,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"711","G3",0.1022,32,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"713","A3",0.1037,34,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"714","B3",0.1057,34,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"715","C3",0.455,34,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"716","D3",0.1065,34,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"717","E3",0.1125,34,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"718","F3",0.1075,34,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"719","G3",0.0984,34,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"721","A3",0.1016,36,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"722","B3",0.1062,36,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"723","C3",0.5557,36,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"724","D3",0.1083,36,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"725","E3",0.1114,36,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"726","F3",0.107,36,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"727","G3",0.0993,36,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"729","A3",0.1032,38,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"730","B3",0.1056,38,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"731","C3",0.8869,38,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"732","D3",0.1166,38,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"733","E3",0.1112,38,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"734","F3",0.1058,38,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"735","G3",0.0982,38,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"737","A3",0.1023,40,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"738","B3",0.1055,40,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"739","C3",1.138,40,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"740","D3",0.1293,40,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"741","E3",0.109,40,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"742","F3",0.1052,40,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"743","G3",0.1017,40,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"745","A3",0.1022,42,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"746","B3",0.1049,42,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"747","C3",1.3823,42,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"748","D3",0.1529,42,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"749","E3",0.1078,42,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"750","F3",0.1048,42,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"751","G3",0.1095,42,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"753","A3",0.1029,44,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"754","B3",0.1086,44,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"755","C3",1.3026,44,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"756","D3",0.6015,44,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"757","E3",0.1116,44,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"758","F3",0.1044,44,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"759","G3",0.101,44,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"761","A3",0.1054,46,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"762","B3",0.1105,46,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"763","C3",1.5378,46,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"764","D3",0.7924,46,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"765","E3",0.1193,46,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"766","F3",0.1088,46,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"767","G3",0.0981,46,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"769","A3",0.102,48,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"770","B3",0.1059,48,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"771","C3",1.4622,48,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"772","D3",0.9845,48,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"773","E3",0.1075,48,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"774","F3",0.1017,48,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"775","G3",0.0948,48,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"777","A3",0.1011,50,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"778","B3",0.1064,50,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"779","C3",1.47,50,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"780","D3",1.2596,50,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"781","E3",0.1073,50,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"782","F3",0.1023,50,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"783","G3",0.0965,50,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"785","A3",0.1009,52,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"786","B3",0.1071,52,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"787","C3",1.4232,52,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"788","D3",1.517,52,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"789","E3",0.1053,52,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"790","F3",0.1021,52,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"791","G3",0.0964,52,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"793","A3",0.1008,54,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"794","B3",0.1111,54,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"795","C3",1.3974,54,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"796","D3",1.6358,54,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"797","E3",0.105,54,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"798","F3",0.1016,54,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"799","G3",0.1009,54,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"801","A3",0.1002,56,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"802","B3",0.1281,56,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"803","C3",1.3893,56,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"804","D3",1.629,56,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"805","E3",0.1046,56,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"806","F3",0.1009,56,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"807","G3",0.1103,56,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"809","A3",0.1002,58,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"810","B3",0.1576,58,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"811","C3",1.2872,58,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"812","D3",1.6175,58,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"813","E3",0.1028,58,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"814","F3",0.1018,58,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"815","G3",0.1011,58,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"817","A3",0.1003,60,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"818","B3",0.1561,60,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"819","C3",1.3181,60,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"820","D3",1.6159,60,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"821","E3",0.1042,60,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"822","F3",0.1006,60,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"823","G3",0.0929,60,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"825","A3",0.1001,62,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"826","B3",0.1777,62,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"827","C3",1.3345,62,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"828","D3",1.5556,62,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"829","E3",0.1031,62,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"830","F3",0.1007,62,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"831","G3",0.0922,62,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"833","A3",0.0998,64,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"834","B3",0.201,64,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"835","C3",1.3151,64,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"836","D3",1.6114,64,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"837","E3",0.1023,64,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"838","F3",0.1003,64,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"839","G3",0.0931,64,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"841","A3",0.0999,66,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"842","B3",0.2207,66,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"843","C3",1.3517,66,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"844","D3",1.6091,66,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"845","E3",0.102,66,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"846","F3",0.1009,66,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"847","G3",0.0933,66,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"849","A3",0.0996,68,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"850","B3",0.2632,68,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"851","C3",1.3878,68,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"852","D3",1.6363,68,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"853","E3",0.1025,68,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"854","F3",0.0997,68,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"855","G3",0.095,68,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"857","A3",0.1105,70,1,"1-A3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",3
"858","B3",0.5564,70,1,"1-B3","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",3
"859","C3",1.4911,70,1,"1-C3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",3
"860","D3",1.7557,70,1,"1-D3","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",3
"861","E3",0.1187,70,1,"1-E3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",3
"862","F3",0.1252,70,1,"1-F3","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",3
"863","G3",0.0912,70,1,"1-G3","Blank","Growth Medium","","SD-HIS",3
"865","A4",0.1059,0,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"866","B4",0.1007,0,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"867","C4",0.1219,0,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"868","D4",0.1145,0,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"869","E4",0.1217,0,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"870","F4",0.1129,0,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"871","G4",0.1298,0,1,"1-G4","Blank","No","","SD-HIS",1
"873","A4",0.1062,2,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"874","B4",0.1023,2,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"875","C4",0.1338,2,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"876","D4",0.1256,2,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"877","E4",0.1582,2,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"878","F4",0.1539,2,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"879","G4",0.1315,2,1,"1-G4","Blank","No","","SD-HIS",1
"881","A4",0.1064,4,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"882","B4",0.1028,4,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"883","C4",0.1343,4,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"884","D4",0.1844,4,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"885","E4",0.138,4,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"886","F4",0.1347,4,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"887","G4",0.1312,4,1,"1-G4","Blank","No","","SD-HIS",1
"889","A4",0.1062,6,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"890","B4",0.1049,6,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"891","C4",0.1293,6,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"892","D4",0.1252,6,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"893","E4",0.1304,6,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"894","F4",0.1268,6,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"895","G4",0.1294,6,1,"1-G4","Blank","No","","SD-HIS",1
"897","A4",0.1062,8,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"898","B4",0.1057,8,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"899","C4",0.1253,8,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"900","D4",0.1248,8,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"901","E4",0.1233,8,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"902","F4",0.1256,8,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"903","G4",0.1254,8,1,"1-G4","Blank","No","","SD-HIS",1
"905","A4",0.1062,10,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"906","B4",0.1078,10,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"907","C4",0.1225,10,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"908","D4",0.1259,10,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"909","E4",0.1222,10,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"910","F4",0.1211,10,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"911","G4",0.1254,10,1,"1-G4","Blank","No","","SD-HIS",1
"913","A4",0.1063,12,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"914","B4",0.1071,12,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"915","C4",0.1213,12,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"916","D4",0.1255,12,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"917","E4",0.1184,12,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"918","F4",0.12,12,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"919","G4",0.1236,12,1,"1-G4","Blank","No","","SD-HIS",1
"921","A4",0.1063,14,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"922","B4",0.1067,14,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"923","C4",0.1191,14,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"924","D4",0.1293,14,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"925","E4",0.1148,14,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"926","F4",0.1198,14,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"927","G4",0.1225,14,1,"1-G4","Blank","No","","SD-HIS",1
"929","A4",0.1063,16,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"930","B4",0.1063,16,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"931","C4",0.1191,16,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"932","D4",0.1229,16,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"933","E4",0.1165,16,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"934","F4",0.13,16,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"935","G4",0.1185,16,1,"1-G4","Blank","No","","SD-HIS",1
"937","A4",0.1063,18,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"938","B4",0.105,18,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"939","C4",0.1172,18,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"940","D4",0.136,18,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"941","E4",0.1143,18,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"942","F4",0.1385,18,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"943","G4",0.1174,18,1,"1-G4","Blank","No","","SD-HIS",1
"945","A4",0.1062,20,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"946","B4",0.109,20,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"947","C4",0.117,20,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"948","D4",0.1865,20,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"949","E4",0.1134,20,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"950","F4",0.1592,20,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"951","G4",0.1205,20,1,"1-G4","Blank","No","","SD-HIS",1
"953","A4",0.1064,22,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"954","B4",0.1076,22,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"955","C4",0.1197,22,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"956","D4",0.28,22,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"957","E4",0.116,22,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"958","F4",0.3279,22,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"959","G4",0.1176,22,1,"1-G4","Blank","No","","SD-HIS",1
"961","A4",0.0992,24,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"962","B4",0.1101,24,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"963","C4",0.1337,24,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"964","D4",0.109,24,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"965","E4",0.1158,24,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"966","F4",0.1173,24,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"967","G4",0.1016,24,1,"1-G4","Blank","No","","SD-HIS",1
"969","A4",0.1047,26,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"970","B4",0.1114,26,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"971","C4",0.1286,26,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"972","D4",0.1077,26,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"973","E4",0.1141,26,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"974","F4",0.1174,26,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"975","G4",0.1052,26,1,"1-G4","Blank","No","","SD-HIS",1
"977","A4",0.103,28,1,"1-A4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",1
"978","B4",0.1109,28,1,"1-B4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",1
"979","C4",0.141,28,1,"1-C4","Y7039 x YHL033C","No","RT","SD-HIS",1
"980","D4",0.1067,28,1,"1-D4","Y7039 x YHL033C","No","RT","SD-HIS-LEU",1
"981","E4",0.1128,28,1,"1-E4","Y7039 x YHL033C","No","Heat Shock","SD-HIS",4
"982","F4",0.1179,28,1,"1-F4","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",4
"983","G4",0.1072,28,1,"1-G4","Blank","No","","SD-HIS",1
