OD,Time,Strain,Replicate,Cycles,Temperature
0.116,2,YIL066C,1,10,-20
0.114,2,YIL066C,2,10,-20
0.112,2,YIL066C,3,10,-20
0.116,2,YIL066C,2,20,-20
0.112,2,YIL066C,3,20,-20
0.109,2,YIL066C,1,30,-20
0.107,2,YIL066C,2,30,-20
0.107,2,YIL066C,3,30,-20
0.113,2,YIL066C,1,40,-20
0.098,2,YIL066C,2,40,-20
0.106,2,YIL066C,3,40,-20
0.108,2,YIL066C,1,50,-20
0.109,2,YIL066C,2,50,-20
0.102,2,YIL066C,3,50,-20
0.209,4,YIL066C,1,0,-20
0.207,4,YIL066C,2,0,-20
0.21,4,YIL066C,3,0,-20
0.216,4,YIL066C,1,10,-20
0.267,4,YIL066C,2,10,-20
0.272,4,YIL066C,3,10,-20
0.228,4,YIL066C,2,20,-20
0.238,4,YIL066C,3,20,-20
0.228,4,YIL066C,1,30,-20
0.23,4,YIL066C,2,30,-20
0.209,4,YIL066C,3,30,-20
0.22,4,YIL066C,1,40,-20
0.228,4,YIL066C,2,40,-20
0.211,4,YIL066C,3,40,-20
0.221,4,YIL066C,1,50,-20
0.234,4,YIL066C,2,50,-20
0.196,4,YIL066C,3,50,-20
0.567,6,YIL066C,1,0,-20
0.589,6,YIL066C,2,0,-20
0.581,6,YIL066C,3,0,-20
0.585,6,YIL066C,1,10,-20
0.641,6,YIL066C,2,10,-20
0.584,6,YIL066C,3,10,-20
0.555,6,YIL066C,2,20,-20
0.335,6,YIL066C,3,20,-20
0.618,6,YIL066C,1,30,-20
0.585,6,YIL066C,2,30,-20
0.594,6,YIL066C,3,30,-20
0.621,6,YIL066C,1,40,-20
0.556,6,YIL066C,2,40,-20
0.553,6,YIL066C,3,40,-20
0.604,6,YIL066C,1,50,-20
0.606,6,YIL066C,2,50,-20
0.595,6,YIL066C,3,50,-20
1.205,8,YIL066C,1,0,-20
1.216,8,YIL066C,2,0,-20
1.209,8,YIL066C,3,0,-20
1.185,8,YIL066C,1,10,-20
1.248,8,YIL066C,2,10,-20
1.25,8,YIL066C,3,10,-20
1.217,8,YIL066C,2,20,-20
1.224,8,YIL066C,3,20,-20
1.222,8,YIL066C,1,30,-20
1.17,8,YIL066C,2,30,-20
1.168,8,YIL066C,3,30,-20
1.274,8,YIL066C,1,40,-20
1.13,8,YIL066C,2,40,-20
1.168,8,YIL066C,3,40,-20
1.214,8,YIL066C,1,50,-20
1.235,8,YIL066C,2,50,-20
1.205,8,YIL066C,3,50,-20
1.95,10,YIL066C,1,0,-20
1.934,10,YIL066C,2,0,-20
1.923,10,YIL066C,3,0,-20
1.965,10,YIL066C,1,10,-20
1.955,10,YIL066C,2,10,-20
1.985,10,YIL066C,3,10,-20
1.954,10,YIL066C,2,20,-20
1.953,10,YIL066C,3,20,-20
1.966,10,YIL066C,1,30,-20
1.93,10,YIL066C,2,30,-20
1.935,10,YIL066C,3,30,-20
1.838,10,YIL066C,1,40,-20
1.884,10,YIL066C,2,40,-20
1.904,10,YIL066C,3,40,-20
1.917,10,YIL066C,1,50,-20
1.942,10,YIL066C,2,50,-20
1.932,10,YIL066C,3,50,-20
2.427,12,YIL066C,1,0,-20
2.423,12,YIL066C,2,0,-20
2.423,12,YIL066C,3,0,-20
2.37,12,YIL066C,1,10,-20
2.489,12,YIL066C,2,10,-20
2.443,12,YIL066C,3,10,-20
2.414,12,YIL066C,2,20,-20
2.484,12,YIL066C,3,20,-20
2.39,12,YIL066C,1,30,-20
2.457,12,YIL066C,2,30,-20
2.378,12,YIL066C,3,30,-20
2.406,12,YIL066C,1,40,-20
2.329,12,YIL066C,2,40,-20
2.347,12,YIL066C,3,40,-20
2.412,12,YIL066C,1,50,-20
2.416,12,YIL066C,2,50,-20
2.329,12,YIL066C,3,50,-20
0.063,0,YIL066C,1,0,Liquid Nitrogen
0.085,2,YIL066C,1,0,Liquid Nitrogen
0.187,4,YIL066C,1,0,Liquid Nitrogen
0.471,6,YIL066C,1,0,Liquid Nitrogen
0.975,8,YIL066C,1,0,Liquid Nitrogen
1.7153,10,YIL066C,1,0,Liquid Nitrogen
0.063,0,YIL066C,1,10,Liquid Nitrogen
