Medium,Strain,State,Replicate,OD,Time
YPD,Y-33C,dried,2,0.003,8
YPD,Y-33C,dried,3,0,8
YPD,Y-33C,liquid,1,2.492,22
YPD,Y-33C,liquid,2,2.637,22
YPD,Y-33C,liquid,3,2.693,22
YPD,Y-58W,liquid,1,2.436,22
YPD,Y-58W,liquid,2,2.424,22
YPD,Y-58W,liquid,3,2.418,22
SD-HIS-LEU,Y-33C,liquid,2,0.336,22
SD-HIS-LEU,Y-33C,liquid,3,0.342,22
SD-HIS-LEU,Y-58W,liquid,1,0.181,22
SD-HIS-LEU,Y-58W,liquid,2,0.199,22
SD-HIS-LEU,Y-58W,liquid,3,0.201,22
SD-HIS-LEU,Y-58W,dried,1,0,22
SD-HIS-LEU,Y-58W,dried,2,0.002,22
SD-HIS-LEU,Y-58W,dried,3,0.004,22
SD-HIS-LEU,Y-33C,dried,1,0,22
SD-HIS-LEU,Y-33C,dried,2,0,22
SD-HIS-LEU,Y-33C,dried,3,0,22
YPD,Y-58W,dried,1,0.007,22
YPD,Y-58W,dried,2,0.014,22
YPD,Y-58W,dried,3,0,22
YPD,Y-33C,dried,1,0.006,22
YPD,Y-33C,dried,2,0.018,22
YPD,Y-33C,dried,3,0.001,22
YPD,Y-33C,liquid,1,,24
YPD,Y-33C,liquid,2,,24
YPD,Y-33C,liquid,3,,24
YPD,Y-58W,liquid,1,,24
YPD,Y-58W,liquid,2,,24
YPD,Y-58W,liquid,3,,24
SD-HIS-LEU,Y-33C,liquid,2,0.556,24
SD-HIS-LEU,Y-33C,liquid,3,0.555,24
SD-HIS-LEU,Y-58W,liquid,1,0.319,24
SD-HIS-LEU,Y-58W,liquid,2,0.332,24
SD-HIS-LEU,Y-58W,liquid,3,0.323,24
SD-HIS-LEU,Y-58W,dried,1,,24
SD-HIS-LEU,Y-58W,dried,2,,24
SD-HIS-LEU,Y-58W,dried,3,,24
SD-HIS-LEU,Y-33C,dried,1,,24
SD-HIS-LEU,Y-33C,dried,2,,24
SD-HIS-LEU,Y-33C,dried,3,,24
YPD,Y-58W,dried,1,,24
YPD,Y-58W,dried,2,,24
YPD,Y-58W,dried,3,,24
YPD,Y-33C,dried,1,,24
YPD,Y-33C,dried,2,,24
YPD,Y-33C,dried,3,,24
YPD,Y-33C,liquid,1,,26
YPD,Y-33C,liquid,2,,26
YPD,Y-33C,liquid,3,,26
YPD,Y-58W,liquid,1,,26
YPD,Y-58W,liquid,2,,26
YPD,Y-58W,liquid,3,,26
SD-HIS-LEU,Y-33C,liquid,2,0.961,26
SD-HIS-LEU,Y-33C,liquid,3,0.912,26
SD-HIS-LEU,Y-58W,liquid,1,0.586,26
SD-HIS-LEU,Y-58W,liquid,2,0.601,26
SD-HIS-LEU,Y-58W,liquid,3,0.582,26
SD-HIS-LEU,Y-58W,dried,1,,26
SD-HIS-LEU,Y-58W,dried,2,,26
SD-HIS-LEU,Y-58W,dried,3,,26
SD-HIS-LEU,Y-33C,dried,1,,26
SD-HIS-LEU,Y-33C,dried,2,,26
SD-HIS-LEU,Y-33C,dried,3,,26
YPD,Y-58W,dried,1,,26
YPD,Y-58W,dried,2,,26
YPD,Y-58W,dried,3,,26
YPD,Y-33C,dried,1,,26
YPD,Y-33C,dried,2,,26
YPD,Y-33C,dried,3,,26
YPD,Y-33C,liquid,1,,28
YPD,Y-33C,liquid,2,,28
YPD,Y-33C,liquid,3,,28
YPD,Y-58W,liquid,1,,28
YPD,Y-58W,liquid,2,,28
YPD,Y-58W,liquid,3,,28
SD-HIS-LEU,Y-33C,liquid,2,1.692,28
SD-HIS-LEU,Y-33C,liquid,3,1.656,28
SD-HIS-LEU,Y-58W,liquid,1,1.182,28
SD-HIS-LEU,Y-58W,liquid,2,1.204,28
SD-HIS-LEU,Y-58W,liquid,3,1.206,28
SD-HIS-LEU,Y-58W,dried,1,,28
SD-HIS-LEU,Y-58W,dried,2,,28
SD-HIS-LEU,Y-58W,dried,3,,28
SD-HIS-LEU,Y-33C,dried,1,,28
SD-HIS-LEU,Y-33C,dried,2,,28
SD-HIS-LEU,Y-33C,dried,3,,28
YPD,Y-58W,dried,1,,28
YPD,Y-58W,dried,2,,28
YPD,Y-58W,dried,3,,28
YPD,Y-33C,dried,1,,28
YPD,Y-33C,dried,2,,28
YPD,Y-33C,dried,3,,28
YPD,Y-33C,liquid,1,,30
YPD,Y-33C,liquid,2,,30
YPD,Y-33C,liquid,3,,30
YPD,Y-58W,liquid,1,,30
YPD,Y-58W,liquid,2,,30
YPD,Y-58W,liquid,3,,30
SD-HIS-LEU,Y-33C,liquid,2,1.998,30
SD-HIS-LEU,Y-33C,liquid,3,2.015,30
SD-HIS-LEU,Y-58W,liquid,1,1.558,30
SD-HIS-LEU,Y-58W,liquid,2,1.644,30
SD-HIS-LEU,Y-58W,liquid,3,1.633,30
SD-HIS-LEU,Y-58W,dried,1,0,30
SD-HIS-LEU,Y-58W,dried,2,0,30
SD-HIS-LEU,Y-58W,dried,3,0.057,30
SD-HIS-LEU,Y-33C,dried,1,0.013,30
SD-HIS-LEU,Y-33C,dried,2,0,30
SD-HIS-LEU,Y-33C,dried,3,0,30
YPD,Y-58W,dried,1,0.023,30
YPD,Y-58W,dried,2,1.918,30
YPD,Y-58W,dried,3,0.075,30
YPD,Y-33C,dried,1,0.044,30
YPD,Y-33C,dried,2,0.215,30
YPD,Y-33C,dried,3,0.318,30
